,2021/1/10,2021/1/22,2021/2/3,2021/2/15,2021/2/27,2021/3/11,2021/3/23,2021/4/4,2021/4/16,2021/4/28,2021/5/10,2021/5/22,2021/6/3,2021/6/15,2021/6/27,2021/7/9,2021/7/21,2021/8/2,2021/8/14,2021/8/26,2021/9/7,2021/9/19,2021/10/1,2021/10/13,2021/10/25,2021/11/6,2021/11/18,2021/11/30,2021/12/12,2021/12/24,2022/1/5,2022/1/17,2022/1/29,2022/2/10,2022/2/22,2022/3/6,2022/3/18,2022/3/30,2022/4/11,2022/4/23,2022/5/5,2022/5/17,2022/5/29,2022/6/10,2022/6/22,2022/7/4,2022/7/16,2022/7/28,2022/8/9,2022/8/21,2022/9/2,2022/9/14,2022/9/26,2022/10/8,2022/10/20,2022/11/1,2022/11/13,2022/11/25,2022/12/7,2022/12/19,2022/12/31,2023/1/12,2023/1/24,2023/2/5,2023/2/17,2023/3/1,2023/3/13,2023/3/25,2023/4/6,2023/4/18,2023/4/30
611,1.972277206,-0.294025561,-2.574908538,-4.867648841,-7.172263212,-9.48905241,-11.81902438,-14.17230628,-16.60753832,-19.4572117,-22.53219473,-25.83260686,-29.29143603,-32.87073604,-36.62640986,-40.61909759,-44.82062621,-49.1460749,-53.41863023,-57.44248239,-61.20983829,-64.82394198,-68.3256646,-71.67987105,-74.86848944,-77.85845595,-80.57841244,-83.05717666,-85.42628018,-87.78420572,-90.14189833,-92.44385599,-94.63652148,-96.74448714,-98.84810468,-101.1148871,-103.8197086,-107.0882846,-110.7743446,-114.6184766,-118.3799192,-122.0437408,-125.7813828,-129.7459844,-133.73431,-137.4518073,-140.8581937,-144.0720681,-147.072269,-149.8910915,-152.6677582,-155.4266663,-158.1342159,-160.7429614,-163.1926633,-165.4765503,-167.6080756,-169.5863159,-171.4622934,-173.2574641,-174.9932378,-176.6925603,-178.3845591,-180.117571,-181.9929543,-184.1098529,-186.4493463,-188.9417998,-191.5900774,-194.3671041,-197.1416896
612,2.555098282,1.467913032,0.363739146,-0.750862089,-1.871390024,-2.991917962,-4.108451396,-5.231686251,-6.440519061,-7.699672632,-8.857009702,-9.87972054,-10.71571449,-11.33765728,-11.78148995,-12.17081435,-12.56996701,-12.99213705,-13.44290611,-13.92989017,-14.45004184,-15.05009747,-15.79035413,-16.66316624,-17.63200836,-18.6426717,-19.61867613,-20.52440303,-21.40289166,-22.31735632,-23.24711932,-24.09835159,-24.78529463,-25.3366382,-25.85859916,-26.44573932,-27.10154446,-27.85386087,-28.71394938,-29.74520784,-30.88157645,-32.01730282,-33.22955957,-34.52877439,-35.88290392,-37.27250953,-38.63679714,-39.95141573,-41.31807595,-42.83543434,-44.46321208,-46.14235187,-47.80007407,-49.40076946,-50.87446596,-52.13783216,-53.15714804,-53.9104913,-54.48855747,-54.97926588,-55.36787565,-55.69365475,-56.06719707,-56.54142808,-57.11112526,-57.76744528,-58.525017,-59.36721908,-60.2175829,-61.01055435,-61.79708207
613,-2.14019642,-2.071495124,-1.993091114,-1.908606808,-1.820145787,-1.728409829,-1.630088321,-1.51205721,-1.340388654,-1.287130565,-1.410941834,-1.658078271,-1.988125514,-2.390585555,-2.871304796,-3.442842969,-4.127307342,-4.896404784,-5.704652344,-6.466610049,-7.16099464,-7.818131151,-8.474300356,-9.181077262,-9.934570575,-10.71981958,-11.55415255,-12.45356999,-13.42768762,-14.43817242,-15.37431006,-16.16649422,-16.83304388,-17.39525681,-17.83758581,-18.13783401,-18.27591027,-18.25973951,-18.1516099,-18.09718579,-18.1934574,-18.44063441,-18.81022002,-19.27626046,-19.84396776,-20.53863878,-21.38601501,-22.38227234,-23.50747463,-24.75157196,-26.09056992,-27.44440919,-28.72416513,-29.91139309,-31.03108602,-32.0883333,-33.06636792,-33.8933643,-34.43044535,-34.6165382,-34.64487587,-34.74337077,-34.94556373,-35.24884269,-35.66213558,-36.24136952,-36.96944978,-37.84663332,-38.85660233,-39.93131084,-41.01909307
614,-0.405589231,2.2046879,4.841274867,7.499359861,10.16821641,12.83692502,15.49321122,18.12568285,20.79476825,23.75871551,26.79290344,29.67360273,32.22335806,34.3471174,36.13702578,37.73743936,39.14534825,40.26411767,41.10965394,41.80042948,42.48498288,43.33509036,44.46699622,45.93402121,47.72628402,49.86723943,52.42984389,55.36908701,58.41293513,61.28232288,63.88753714,66.16777016,68.04968616,69.55687864,70.80992811,71.87696521,72.89445838,74.05438891,75.43224683,77.0421052,79.0418016,81.58731109,84.76490294,88.34263479,91.91495399,95.34519936,98.69404477,102.0876372,105.5156587,108.8715621,112.0692387,115.0407474,117.7843122,120.3774676,122.9090254,125.4364731,127.892836,130.1660612,132.2032701,134.0745839,135.8908853,137.7216365,139.5565547,141.3422742,143.0144284,144.5560249,145.9567012,147.3011936,148.6749281,150.0148361,151.2654423
615,1.788428924,6.297501959,10.78983937,15.27235665,19.75290013,24.2352014,28.7151876,33.17323508,37.49472775,41.42590793,45.25547893,49.09360599,52.93067271,56.63768178,60.10538948,63.34183196,66.43739982,69.52615751,72.72142594,76.06004339,79.49397114,82.99539909,86.56319162,90.22300905,93.9862487,97.89412512,101.9460929,106.0959247,110.3231705,114.5735736,118.7985381,122.9990718,127.1710601,131.2765364,135.2820618,139.2005704,143.1238681,147.1300726,151.1847675,155.2121293,159.2212059,163.1905575,167.115664,171.0533681,174.9955497,178.7987336,182.3908474,185.8527895,189.316758,192.8330537,196.4395221,200.1746963,204.0594333,208.0661443,212.1698671,216.3079014,220.4176501,224.4557198,228.4101863,232.2849381,236.1236375,239.9650064,243.7846321,247.5586297,251.3493986,255.3168711,259.5733578,264.0970411,268.7760837,273.4474371,277.9885367
616,-1.255723826,3.358598123,8.003761632,12.67171212,17.34624121,22.0097585,26.64598895,31.25018658,35.92769061,40.65484321,45.38815704,50.10475585,54.81059751,59.49090231,64.17529818,68.8967355,73.67938476,78.59170184,83.71302778,89.00403464,94.18861191,99.04573407,103.6142582,108.0650949,112.495637,116.9283903,121.2198535,125.1631698,128.6418132,131.5947545,134.1736695,136.6361123,138.9930191,141.1132181,142.9441362,144.6115503,146.4374937,148.7082183,151.470939,154.5988084,158.1114205,162.1819749,166.9350216,172.2446608,177.8714214,183.6628575,189.5143658,195.4678853,201.5222321,207.5102884,213.1825982,218.251696,222.6221759,226.4332196,229.8581423,233.066002,236.0655739,238.7392068,240.964115,242.8383879,244.6403837,246.5549957,248.6019054,250.795041,253.1099458,255.5433206,258.0565254,260.6348423,263.2641408,265.8758626,268.4035383
617,1.978972061,0.947177558,-0.089805547,-1.124594551,-2.153073949,-3.174266775,-4.192508484,-5.226848425,-6.347322306,-7.470170079,-8.585910756,-9.828522756,-11.32610798,-13.14324156,-15.16714901,-17.35634622,-19.72815234,-22.29794454,-25.02806658,-27.83762734,-30.68773807,-33.51648586,-36.25987731,-38.84021407,-41.25894986,-43.45797232,-45.37043003,-47.01088636,-48.45099785,-49.79077771,-51.05081966,-52.15230996,-53.03078476,-53.74694191,-54.41656906,-55.08494182,-55.76825334,-56.5159303,-57.45442679,-58.64583472,-60.09289809,-61.76064773,-63.67255162,-65.82974978,-68.20665594,-70.73881968,-73.32515959,-75.80697347,-78.06690147,-80.09743248,-81.89012674,-83.449591,-84.79522503,-85.92352906,-86.84096353,-87.60597209,-88.298237,-88.90925769,-89.44882617,-89.91353742,-90.35810929,-90.95870826,-91.76294394,-92.72388888,-93.89959499,-95.33102572,-97.05839154,-99.05275687,-101.288266,-103.8482548,-106.7071286
618,1.014527108,4.510654874,8.002027034,11.49224008,14.98183798,18.47136884,21.9602151,25.44220898,28.88115931,32.28913125,35.76860044,39.30561787,42.96738559,46.77687043,50.6544639,54.50918052,58.37219662,62.33035362,66.48901138,70.95123065,75.68505416,80.55067877,85.47624019,90.53203998,95.77400391,101.1908485,106.6979189,111.9997559,116.8465079,121.2089734,125.1841995,128.8913379,132.4212441,135.8073572,138.916185,141.7320686,144.6229713,148.0016343,151.909926,156.2349165,160.8809547,165.7971256,170.9161486,176.2312933,181.7787797,187.4899488,193.1983265,198.8055482,204.2293954,209.336197,214.0673621,218.4567568,222.508926,226.2579834,229.784956,233.1686009,236.3709159,239.4178276,242.3802654,245.3705277,248.4453858,251.5280784,254.5085128,257.3652184,260.1405481,262.8939223,265.614119,268.3011873,271.0707866,273.9693202,276.9991747
619,-0.206723121,-0.176778327,-0.147663196,-0.123056822,-0.106992017,-0.101377295,-0.10452785,-0.105243268,-0.063759674,-0.046924562,-0.073073661,-0.192708628,-0.400300051,-0.629186818,-0.79256472,-0.883480329,-0.941458483,-0.983988244,-1.016974063,-1.033693315,-1.029733545,-0.990998091,-0.924196512,-0.862409949,-0.810218162,-0.776336646,-0.748328199,-0.703368618,-0.625189746,-0.543775599,-0.475443361,-0.404272586,-0.336664185,-0.27732605,-0.295171521,-0.772094001,-1.793648372,-3.134275875,-4.76040174,-6.690723499,-8.828396892,-10.72621965,-12.43534266,-14.45892035,-16.62204791,-18.58763268,-20.43716239,-22.00155344,-22.82793392,-22.97628333,-23.06976096,-23.15194878,-23.17719127,-23.15981462,-23.11584723,-23.07290816,-23.05856405,-23.20287258,-23.46439938,-23.69860698,-23.87667931,-24.02271623,-24.19033663,-24.4194585,-24.69734375,-24.97686396,-25.27915717,-25.63011464,-26.04816972,-26.56325898,-27.13998709
620,2.758741986,1.849269815,0.920094412,-0.022005347,-0.969033237,-1.916627164,-2.869320012,-3.852804593,-4.960883604,-6.171853812,-7.394814682,-8.604343304,-9.815403382,-11.06590855,-12.39866458,-13.98213685,-15.80526595,-17.6851881,-19.58259277,-21.59956837,-23.82644667,-26.24315489,-28.74353115,-31.25521044,-33.64026381,-35.75913803,-37.58875432,-39.14622527,-40.52767446,-41.76592173,-42.8478645,-43.78066662,-44.62381821,-45.42694453,-46.32852301,-47.46955838,-48.92787473,-50.66863973,-52.58037278,-54.54736447,-56.49428785,-58.47261927,-60.59295972,-62.90974432,-65.35703097,-67.75896506,-70.0256105,-72.19068018,-74.29671986,-76.4024736,-78.5495261,-80.67581647,-82.72002217,-84.68283049,-86.62463479,-88.63064447,-90.72414933,-92.85396359,-94.95864684,-96.99157045,-98.96380056,-100.9310574,-102.9407338,-104.9646857,-106.9147298,-108.7160269,-110.3439892,-111.8579522,-113.3669033,-114.9219544,-116.5506064
